IP,Severity,MITRE,Reportes,Primer visto,Expira en,País
52.165.80.210,MANUAL,Manual: Falso positivo: regla requiere ajuste (ver detalle),1778,2026-06-15,2026-07-18,US
45.33.14.5,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,US
94.154.43.64,HIGH,Initial Access · T1190 · T1190,1032,2026-07-09,2026-08-02,UA
5.129.247.215,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,RU
122.192.62.50,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,CN
202.183.141.133,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,TH
142.93.129.190,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,NL
105.186.202.247,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,ZA
20.169.48.134,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,US
185.180.141.69,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,PT
175.107.205.51,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,PK
175.195.238.137,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,KR
195.161.62.64,HIGH,Execution · T1203 · T1203,734,2026-07-09,2026-08-01,RU
38.127.60.25,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,US
111.9.42.36,HIGH,Initial Access · T1190 · T1190,1610,2026-06-28,2026-08-01,CN
31.70.84.142,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,DE
207.90.244.14,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,US
157.230.171.79,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,US
45.79.120.189,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,IN
193.26.115.137,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,US
194.163.178.120,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,FR
138.197.41.176,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,US
175.107.228.50,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,PK
45.198.224.244,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,US
185.70.109.79,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,UA
103.186.77.77,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,PK
93.185.104.80,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,CZ
20.163.34.41,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,US
188.138.130.86,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,MD
103.186.77.78,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,PK
159.223.38.227,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,SG
2.26.49.39,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,DE
45.61.173.86,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,GB
42.224.67.141,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,CN
45.156.129.172,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,PT
196.245.52.130,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,ES
138.197.39.208,HIGH,Initial Access · T1190 · T1190,875,2026-06-28,2026-07-22,US
223.84.195.56,HIGH,Execution · T1203 · T1203,875,2026-06-28,2026-07-22,CN
207.180.197.181,HIGH,Initial Access · T1190 · T1190,874,2026-06-28,2026-07-22,FR
20.163.6.104,HIGH,Initial Access · T1190 · T1190,874,2026-06-28,2026-07-22,US
20.150.194.49,HIGH,Initial Access · T1190 · T1190,875,2026-06-28,2026-07-22,US
87.251.66.118,HIGH,Initial Access · T1190 · T1190,875,2026-06-28,2026-07-22,RU
156.239.8.220,HIGH,Initial Access · T1190 · T1190,874,2026-06-28,2026-07-22,SC
20.65.154.175,HIGH,Initial Access · T1190 · T1190,874,2026-06-28,2026-07-22,US
172.203.245.192,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,US
45.33.12.122,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,US
144.31.234.249,HIGH,Execution · T1203 · T1203,587,2026-06-28,2026-07-21,NL
20.163.15.97,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,US
138.197.87.21,HIGH,Initial Access · T1190 · T1190,586,2026-06-28,2026-07-21,US
194.226.166.131,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,RU
138.124.73.150,HIGH,Execution · T1203 · T1203,587,2026-06-28,2026-07-21,DE
195.96.138.16,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,GB
50.116.26.161,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,US
57.144.233.32,MANUAL,Manual: Falso positivo: regla requiere ajuste (ver detalle),1296,2026-06-16,2026-07-19,BR
137.184.85.24,HIGH,Initial Access · T1190 · T1190,602,2026-06-26,2026-07-19,US
185.152.67.145,HIGH,Command and Control · TA0011 · T1071,915,2026-06-25,2026-07-19,US
126.10.15.54,HIGH,Command and Control · TA0011 · T1071,915,2026-06-25,2026-07-19,
126.10.15.55,HIGH,Command and Control · TA0011 · T1071,915,2026-06-25,2026-07-19,
84.17.53.155,MANUAL,"Manual: Watchlist desde caso 94b459a2 (HIGH, Command and Control)",916,2026-06-25,2026-07-19,CH
142.250.0.188,HIGH,Command and Control · TA0011 · T1071,915,2026-06-25,2026-07-19,US
213.250.129.149,HIGH,Command and Control · TA0011 · T1071,916,2026-06-25,2026-07-19,TR
